#LHCb RICH ECQA DCR
#DATE		HOUR
2019-10-01	23:29:44
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
/home/labo/DATA/Load_0033_R_S2/THR_1000V_offset1_Opt_Thr.txt
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	39
0	0	0	1	55
0	0	0	2	41
0	0	0	3	64
0	0	0	4	48
0	0	0	5	46
0	0	0	6	57
0	0	0	7	61
0	0	1	0	144
0	0	1	1	74
0	0	1	2	255
0	0	1	3	97
0	0	1	4	325
0	0	1	5	144
0	0	1	6	283
0	0	1	7	93
0	0	2	0	53
0	0	2	1	54
0	0	2	2	46
0	0	2	3	54
0	0	2	4	45
0	0	2	5	71
0	0	2	6	54
0	0	2	7	55
0	0	3	0	79
0	0	3	1	250
0	0	3	2	69
0	0	3	3	251
0	0	3	4	63
0	0	3	5	229
0	0	3	6	47
0	0	3	7	75
0	0	4	0	175
0	0	4	1	177
0	0	4	2	208
0	0	4	3	207
0	0	4	4	322
0	0	4	5	598
0	0	4	6	1549
0	0	4	7	2211
0	0	5	0	5277
0	0	5	1	3320
0	0	5	2	1305
0	0	5	3	1008
0	0	5	4	374
0	0	5	5	281
0	0	5	6	275
0	0	5	7	192
0	0	6	0	1976
0	0	6	1	1560
0	0	6	2	481
0	0	6	3	353
0	0	6	4	245
0	0	6	5	267
0	0	6	6	193
0	0	6	7	204
0	0	7	0	181
0	0	7	1	273
0	0	7	2	232
0	0	7	3	266
0	0	7	4	770
0	0	7	5	592
0	0	7	6	2946
0	0	7	7	2403
0	1	0	0	88
0	1	0	1	363
0	1	0	2	74
0	1	0	3	409
0	1	0	4	408
0	1	0	5	289
0	1	0	6	83
0	1	0	7	267
0	1	1	0	65
0	1	1	1	59
0	1	1	2	54
0	1	1	3	51
0	1	1	4	52
0	1	1	5	53
0	1	1	6	54
0	1	1	7	55
0	1	2	0	102
0	1	2	1	55
0	1	2	2	190
0	1	2	3	67
0	1	2	4	272
0	1	2	5	89
0	1	2	6	272
0	1	2	7	95
0	1	3	0	65
0	1	3	1	49
0	1	3	2	57
0	1	3	3	87
0	1	3	4	60
0	1	3	5	41
0	1	3	6	50
0	1	3	7	49
0	1	4	0	138
0	1	4	1	297
0	1	4	2	133
0	1	4	3	282
0	1	4	4	303
0	1	4	5	653
0	1	4	6	1328
0	1	4	7	2661
0	1	5	0	1072
0	1	5	1	960
0	1	5	2	225
0	1	5	3	202
0	1	5	4	136
0	1	5	5	157
0	1	5	6	177
0	1	5	7	150
0	1	6	0	4936
0	1	6	1	6006
0	1	6	2	1723
0	1	6	3	1796
0	1	6	4	543
0	1	6	5	414
0	1	6	6	414
0	1	6	7	265
0	1	7	0	239
0	1	7	1	281
0	1	7	2	249
0	1	7	3	275
0	1	7	4	427
0	1	7	5	806
0	1	7	6	1975
0	1	7	7	3034
1	0	0	0	58
1	0	0	1	76
1	0	0	2	56
