#LHCb RICH ECQA DCR
#DATE		HOUR
2019-09-27	00:13:48
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
307
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	80
0	0	0	1	97
0	0	0	2	71
0	0	0	3	83
0	0	0	4	128
0	0	0	5	86
0	0	0	6	103
0	0	0	7	122
0	0	1	0	811
0	0	1	1	200
0	0	1	2	2066
0	0	1	3	435
0	0	1	4	3848
0	0	1	5	556
0	0	1	6	2704
0	0	1	7	343
0	0	2	0	84
0	0	2	1	249
0	0	2	2	77
0	0	2	3	80
0	0	2	4	177
0	0	2	5	72
0	0	2	6	80
0	0	2	7	76
0	0	3	0	210
0	0	3	1	908
0	0	3	2	192
0	0	3	3	1019
0	0	3	4	119
0	0	3	5	729
0	0	3	6	85
0	0	3	7	240
0	0	4	0	76
0	0	4	1	89
0	0	4	2	97
0	0	4	3	98
0	0	4	4	146
0	0	4	5	186
0	0	4	6	265
0	0	4	7	326
0	0	5	0	117
0	0	5	1	205
0	0	5	2	103
0	0	5	3	181
0	0	5	4	177
0	0	5	5	139
0	0	5	6	119
0	0	5	7	81
0	0	6	0	855
0	0	6	1	891
0	0	6	2	191
0	0	6	3	139
0	0	6	4	72
0	0	6	5	92
0	0	6	6	75
0	0	6	7	75
0	0	7	0	92
0	0	7	1	187
0	0	7	2	88
0	0	7	3	98
0	0	7	4	105
0	0	7	5	101
0	0	7	6	527
0	0	7	7	186
0	1	0	0	125
0	1	0	1	458
0	1	0	2	124
0	1	0	3	520
0	1	0	4	188
0	1	0	5	393
0	1	0	6	125
0	1	0	7	227
0	1	1	0	236
0	1	1	1	81
0	1	1	2	385
0	1	1	3	78
0	1	1	4	94
0	1	1	5	70
0	1	1	6	71
0	1	1	7	98
0	1	2	0	250
0	1	2	1	150
0	1	2	2	355
0	1	2	3	111
0	1	2	4	456
0	1	2	5	74
0	1	2	6	442
0	1	2	7	101
0	1	3	0	85
0	1	3	1	112
0	1	3	2	76
0	1	3	3	81
0	1	3	4	53
0	1	3	5	67
0	1	3	6	92
0	1	3	7	113
0	1	4	0	66
0	1	4	1	174
0	1	4	2	128
0	1	4	3	153
0	1	4	4	123
0	1	4	5	123
0	1	4	6	167
0	1	4	7	196
0	1	5	0	213
0	1	5	1	193
0	1	5	2	149
0	1	5	3	156
0	1	5	4	77
0	1	5	5	86
0	1	5	6	101
0	1	5	7	76
0	1	6	0	534
0	1	6	1	1117
0	1	6	2	182
0	1	6	3	187
0	1	6	4	157
0	1	6	5	126
0	1	6	6	156
0	1	6	7	99
0	1	7	0	78
0	1	7	1	61
0	1	7	2	88
0	1	7	3	57
0	1	7	4	149
0	1	7	5	216
0	1	7	6	1157
0	1	7	7	1451
1	0	0	0	107
1	0	0	1	81
1	0	0	2	84
1	0	0	3	81
1	0	0	4	87
1	0	0	5	89
1	0	0	6	88
1	0	0	7	106
1	0	1	0	511
1	0	1	1	131
1	0	1	2	579
1	0	1	3	211
1	0	1	4	953
1	0	1	5	308
1	0	1	6	853
1	0	1	7	257
1	0	2	0	111
1	0	2	1	119
1	0	2	2	69
1	0	2	3	59
1	0	2	4	79
1	0	2	5	73
1	0	2	6	84
1	0	2	7	92
1	0	3	0	294
1	0	3	1	1259
1	0	3	2	192
1	0	3	3	1574
1	0	3	4	137
1	0	3	5	1144
1	0	3	6	114
1	0	3	7	431
1	0	4	0	99
1	0	4	1	132
1	0	4	2	141
1	0	4	3	404
1	0	4	4	812
1	0	4	5	184
1	0	4	6	698
1	0	4	7	895
1	0	5	0	687
1	0	5	1	769
1	0	5	2	161
1	0	5	3	209
1	0	5	4	135
1	0	5	5	90
1	0	5	6	95
1	0	5	7	121
1	0	6	0	1389
1	0	6	1	1119
1	0	6	2	230
1	0	6	3	197
1	0	6	4	267
1	0	6	5	155
1	0	6	6	100
1	0	6	7	134
1	0	7	0	212
1	0	7	1	86
1	0	7	2	114
1	0	7	3	93
1	0	7	4	202
1	0	7	5	276
1	0	7	6	1128
1	0	7	7	637
1	1	0	0	253
1	1	0	1	1158
1	1	0	2	279
1	1	0	3	1341
1	1	0	4	156
1	1	0	5	913
1	1	0	6	134
1	1	0	7	442
1	1	1	0	83
1	1	1	1	86
1	1	1	2	89
1	1	1	3	70
1	1	1	4	73
1	1	1	5	92
1	1	1	6	99
1	1	1	7	111
1	1	2	0	222
1	1	2	1	120
1	1	2	2	566
1	1	2	3	148
1	1	2	4	923
1	1	2	5	201
1	1	2	6	821
1	1	2	7	240
1	1	3	0	88
1	1	3	1	85
1	1	3	2	78
1	1	3	3	68
1	1	3	4	66
1	1	3	5	62
1	1	3	6	179
1	1	3	7	117
1	1	4	0	75
1	1	4	1	84
1	1	4	2	76
1	1	4	3	88
1	1	4	4	264
1	1	4	5	124
1	1	4	6	506
1	1	4	7	379
1	1	5	0	690
1	1	5	1	654
1	1	5	2	179
1	1	5	3	196
1	1	5	4	114
1	1	5	5	158
1	1	5	6	122
1	1	5	7	98
1	1	6	0	530
1	1	6	1	997
1	1	6	2	205
1	1	6	3	145
1	1	6	4	120
1	1	6	5	96
1	1	6	6	93
1	1	6	7	73
1	1	7	0	141
1	1	7	1	107
1	1	7	2	133
1	1	7	3	129
1	1	7	4	205
1	1	7	5	196
1	1	7	6	916
1	1	7	7	1061
2	0	0	0	112
2	0	0	1	103
2	0	0	2	122
2	0	0	3	93
2	0	0	4	118
2	0	0	5	132
2	0	0	6	333
2	0	0	7	216
2	0	1	0	440
2	0	1	1	374
2	0	1	2	104
2	0	1	3	81
2	0	1	4	76
2	0	1	5	133
2	0	1	6	70
2	0	1	7	80
2	0	2	0	272
2	0	2	1	345
2	0	2	2	205
2	0	2	3	151
2	0	2	4	137
2	0	2	5	105
2	0	2	6	144
2	0	2	7	149
2	0	3	0	72
2	0	3	1	83
2	0	3	2	134
2	0	3	3	63
2	0	3	4	80
2	0	3	5	118
2	0	3	6	303
2	0	3	7	381
2	0	4	0	154
2	0	4	1	523
2	0	4	2	226
2	0	4	3	687
2	0	4	4	193
2	0	4	5	491
2	0	4	6	148
2	0	4	7	169
2	0	5	0	202
2	0	5	1	71
2	0	5	2	279
2	0	5	3	64
2	0	5	4	89
2	0	5	5	73
2	0	5	6	100
2	0	5	7	117
2	0	6	0	280
2	0	6	1	235
2	0	6	2	585
2	0	6	3	259
2	0	6	4	853
2	0	6	5	481
2	0	6	6	863
2	0	6	7	241
2	0	7	0	89
2	0	7	1	190
2	0	7	2	102
2	0	7	3	107
2	0	7	4	86
2	0	7	5	199
2	0	7	6	261
2	0	7	7	151
2	1	0	0	77
2	1	0	1	59
2	1	0	2	74
2	1	0	3	66
2	1	0	4	80
2	1	0	5	89
2	1	0	6	256
2	1	0	7	296
2	1	1	0	231
2	1	1	1	279
2	1	1	2	129
2	1	1	3	91
2	1	1	4	151
2	1	1	5	81
2	1	1	6	105
2	1	1	7	53
2	1	2	0	296
2	1	2	1	256
2	1	2	2	114
2	1	2	3	89
2	1	2	4	75
2	1	2	5	87
2	1	2	6	62
2	1	2	7	68
2	1	3	0	53
2	1	3	1	90
2	1	3	2	99
2	1	3	3	181
2	1	3	4	121
2	1	3	5	114
2	1	3	6	267
2	1	3	7	231
2	1	4	0	69
2	1	4	1	202
2	1	4	2	59
2	1	4	3	79
2	1	4	4	66
2	1	4	5	72
2	1	4	6	81
2	1	4	7	98
2	1	5	0	128
2	1	5	1	137
2	1	5	2	171
2	1	5	3	113
2	1	5	4	205
2	1	5	5	108
2	1	5	6	202
2	1	5	7	98
2	1	6	0	246
2	1	6	1	137
2	1	6	2	78
2	1	6	3	85
2	1	6	4	91
2	1	6	5	345
2	1	6	6	83
2	1	6	7	116
2	1	7	0	122
2	1	7	1	340
2	1	7	2	154
2	1	7	3	439
2	1	7	4	196
2	1	7	5	314
2	1	7	6	150
2	1	7	7	243
3	0	0	0	116
3	0	0	1	114
3	0	0	2	126
3	0	0	3	129
3	0	0	4	289
3	0	0	5	150
3	0	0	6	610
3	0	0	7	595
3	0	1	0	731
3	0	1	1	714
3	0	1	2	272
3	0	1	3	153
3	0	1	4	118
3	0	1	5	116
3	0	1	6	86
3	0	1	7	146
3	0	2	0	427
3	0	2	1	974
3	0	2	2	183
3	0	2	3	1158
3	0	2	4	117
3	0	2	5	98
3	0	2	6	118
3	0	2	7	121
3	0	3	0	129
3	0	3	1	96
3	0	3	2	180
3	0	3	3	233
3	0	3	4	152
3	0	3	5	196
3	0	3	6	545
3	0	3	7	756
3	0	4	0	223
3	0	4	1	680
3	0	4	2	243
3	0	4	3	748
3	0	4	4	166
3	0	4	5	564
3	0	4	6	201
3	0	4	7	340
3	0	5	0	146
3	0	5	1	966
3	0	5	2	86
3	0	5	3	78
3	0	5	4	100
3	0	5	5	101
3	0	5	6	116
3	0	5	7	112
3	0	6	0	285
3	0	6	1	254
3	0	6	2	517
3	0	6	3	274
3	0	6	4	850
3	0	6	5	322
3	0	6	6	762
3	0	6	7	221
3	0	7	0	170
3	0	7	1	107
3	0	7	2	110
3	0	7	3	145
3	0	7	4	203
3	0	7	5	119
3	0	7	6	175
3	0	7	7	134
3	1	0	0	120
3	1	0	1	119
3	1	0	2	95
3	1	0	3	110
3	1	0	4	109
3	1	0	5	433
3	1	0	6	707
3	1	0	7	965
3	1	1	0	1037
3	1	1	1	1124
3	1	1	2	781
3	1	1	3	330
3	1	1	4	132
3	1	1	5	95
3	1	1	6	117
3	1	1	7	112
3	1	2	0	340
3	1	2	1	324
3	1	2	2	102
3	1	2	3	97
3	1	2	4	182
3	1	2	5	111
3	1	2	6	74
3	1	2	7	111
3	1	3	0	121
3	1	3	1	112
3	1	3	2	164
3	1	3	3	97
3	1	3	4	108
3	1	3	5	151
3	1	3	6	286
3	1	3	7	352
3	1	4	0	252
3	1	4	1	114
3	1	4	2	89
3	1	4	3	100
3	1	4	4	78
3	1	4	5	100
3	1	4	6	142
3	1	4	7	167
3	1	5	0	344
3	1	5	1	235
3	1	5	2	604
3	1	5	3	219
3	1	5	4	1080
3	1	5	5	278
3	1	5	6	1033
3	1	5	7	239
3	1	6	0	149
3	1	6	1	118
3	1	6	2	141
3	1	6	3	103
3	1	6	4	138
3	1	6	5	453
3	1	6	6	122
3	1	6	7	355
3	1	7	0	530
3	1	7	1	3193
3	1	7	2	1025
3	1	7	3	4761
3	1	7	4	787
3	1	7	5	12243
3	1	7	6	305
3	1	7	7	915
4	0	0	0	146
4	0	0	1	192
4	0	0	2	128
4	0	0	3	310
4	0	0	4	141
4	0	0	5	185
4	0	0	6	236
4	0	0	7	230
4	0	1	0	1561
4	0	1	1	1571
4	0	1	2	2857
4	0	1	3	727
4	0	1	4	4800
4	0	1	5	1681
4	0	1	6	3618
4	0	1	7	1040
4	0	2	0	228
4	0	2	1	229
4	0	2	2	209
4	0	2	3	143
4	0	2	4	234
4	0	2	5	167
4	0	2	6	245
4	0	2	7	166
4	0	3	0	1834
4	0	3	1	4564
4	0	3	2	1564
4	0	3	3	6975
4	0	3	4	1112
4	0	3	5	5158
4	0	3	6	978
4	0	3	7	2034
4	0	4	0	210
4	0	4	1	113
4	0	4	2	129
4	0	4	3	137
4	0	4	4	162
4	0	4	5	202
4	0	4	6	703
4	0	4	7	775
4	0	5	0	290
4	0	5	1	582
4	0	5	2	226
4	0	5	3	211
4	0	5	4	155
4	0	5	5	195
4	0	5	6	180
4	0	5	7	160
4	0	6	0	775
4	0	6	1	747
4	0	6	2	327
4	0	6	3	204
4	0	6	4	508
4	0	6	5	156
4	0	6	6	242
4	0	6	7	116
4	0	7	0	145
4	0	7	1	142
4	0	7	2	175
4	0	7	3	143
4	0	7	4	198
4	0	7	5	286
4	0	7	6	541
4	0	7	7	211
4	1	0	0	256
4	1	0	1	549
4	1	0	2	244
4	1	0	3	638
4	1	0	4	345
4	1	0	5	774
4	1	0	6	317
4	1	0	7	703
4	1	1	0	251
4	1	1	1	207
4	1	1	2	286
4	1	1	3	153
4	1	1	4	141
4	1	1	5	115
4	1	1	6	152
4	1	1	7	145
4	1	2	0	1062
4	1	2	1	385
4	1	2	2	1124
4	1	2	3	393
4	1	2	4	898
4	1	2	5	262
4	1	2	6	642
4	1	2	7	204
4	1	3	0	130
4	1	3	1	176
4	1	3	2	125
4	1	3	3	132
4	1	3	4	126
4	1	3	5	142
4	1	3	6	183
4	1	3	7	200
4	1	4	0	100
4	1	4	1	175
4	1	4	2	101
4	1	4	3	178
4	1	4	4	150
4	1	4	5	181
4	1	4	6	507
4	1	4	7	310
4	1	5	0	668
4	1	5	1	657
4	1	5	2	226
4	1	5	3	174
4	1	5	4	113
4	1	5	5	121
4	1	5	6	125
4	1	5	7	143
4	1	6	0	109
4	1	6	1	315
4	1	6	2	118
4	1	6	3	208
4	1	6	4	137
4	1	6	5	100
4	1	6	6	173
4	1	6	7	114
4	1	7	0	1252
4	1	7	1	511
4	1	7	2	137
4	1	7	3	118
4	1	7	4	191
4	1	7	5	157
4	1	7	6	481
4	1	7	7	442
5	0	0	0	82
5	0	0	1	109
5	0	0	2	111
5	0	0	3	130
5	0	0	4	114
5	0	0	5	122
5	0	0	6	109
5	0	0	7	125
5	0	1	0	540
5	0	1	1	283
5	0	1	2	640
5	0	1	3	276
5	0	1	4	606
5	0	1	5	272
5	0	1	6	463
5	0	1	7	201
5	0	2	0	134
5	0	2	1	114
5	0	2	2	84
5	0	2	3	63
5	0	2	4	92
5	0	2	5	81
5	0	2	6	83
5	0	2	7	103
5	0	3	0	188
5	0	3	1	610
5	0	3	2	171
5	0	3	3	821
5	0	3	4	141
5	0	3	5	632
5	0	3	6	169
5	0	3	7	265
5	0	4	0	82
5	0	4	1	177
5	0	4	2	162
5	0	4	3	108
5	0	4	4	342
5	0	4	5	271
5	0	4	6	4077
5	0	4	7	4179
5	0	5	0	783
5	0	5	1	2455
5	0	5	2	233
5	0	5	3	269
5	0	5	4	116
5	0	5	5	105
5	0	5	6	382
5	0	5	7	110
5	0	6	0	365
5	0	6	1	366
5	0	6	2	347
5	0	6	3	77
5	0	6	4	70
5	0	6	5	76
5	0	6	6	54
5	0	6	7	81
5	0	7	0	103
5	0	7	1	126
5	0	7	2	116
5	0	7	3	88
5	0	7	4	117
5	0	7	5	90
5	0	7	6	297
5	0	7	7	183
5	1	0	0	117
5	1	0	1	475
5	1	0	2	169
5	1	0	3	599
5	1	0	4	219
5	1	0	5	559
5	1	0	6	244
5	1	0	7	1083
5	1	1	0	135
5	1	1	1	113
5	1	1	2	115
5	1	1	3	89
5	1	1	4	92
5	1	1	5	92
5	1	1	6	95
5	1	1	7	107
5	1	2	0	197
5	1	2	1	130
5	1	2	2	411
5	1	2	3	740
5	1	2	4	643
5	1	2	5	151
5	1	2	6	12040
5	1	2	7	259
5	1	3	0	87
5	1	3	1	81
5	1	3	2	78
5	1	3	3	112
5	1	3	4	79
5	1	3	5	82
5	1	3	6	104
5	1	3	7	126
5	1	4	0	72
5	1	4	1	187
5	1	4	2	161
5	1	4	3	261
5	1	4	4	752
5	1	4	5	384
5	1	4	6	9942
5	1	4	7	2963
5	1	5	0	18463
5	1	5	1	14242
5	1	5	2	1016
5	1	5	3	740
5	1	5	4	134
5	1	5	5	139
5	1	5	6	84
5	1	5	7	63
5	1	6	0	167
5	1	6	1	350
5	1	6	2	116
5	1	6	3	73
5	1	6	4	107
5	1	6	5	66
5	1	6	6	173
5	1	6	7	77
5	1	7	0	64
5	1	7	1	61
5	1	7	2	76
5	1	7	3	147
5	1	7	4	74
5	1	7	5	100
5	1	7	6	362
5	1	7	7	415
6	0	0	0	61
6	0	0	1	75
6	0	0	2	63
6	0	0	3	77
6	0	0	4	116
6	0	0	5	109
6	0	0	6	342
6	0	0	7	289
6	0	1	0	483
6	0	1	1	457
6	0	1	2	162
6	0	1	3	158
6	0	1	4	71
6	0	1	5	71
6	0	1	6	59
6	0	1	7	60
6	0	2	0	176
6	0	2	1	251
6	0	2	2	93
6	0	2	3	99
6	0	2	4	67
6	0	2	5	66
6	0	2	6	82
6	0	2	7	49
6	0	3	0	48
6	0	3	1	58
6	0	3	2	51
6	0	3	3	73
6	0	3	4	90
6	0	3	5	79
6	0	3	6	272
6	0	3	7	341
6	0	4	0	117
6	0	4	1	445
6	0	4	2	152
6	0	4	3	622
6	0	4	4	312
6	0	4	5	661
6	0	4	6	333
6	0	4	7	1205
6	0	5	0	104
6	0	5	1	112
6	0	5	2	79
6	0	5	3	69
6	0	5	4	109
6	0	5	5	63
6	0	5	6	56
6	0	5	7	70
6	0	6	0	151
6	0	6	1	93
6	0	6	2	308
6	0	6	3	93
6	0	6	4	449
6	0	6	5	172
6	0	6	6	398
6	0	6	7	103
6	0	7	0	926
6	0	7	1	74
6	0	7	2	86
6	0	7	3	84
6	0	7	4	81
6	0	7	5	70
6	0	7	6	109
6	0	7	7	306
6	1	0	0	44
6	1	0	1	55
6	1	0	2	73
6	1	0	3	83
6	1	0	4	142
6	1	0	5	153
6	1	0	6	414
6	1	0	7	463
6	1	1	0	422
6	1	1	1	419
6	1	1	2	123
6	1	1	3	119
6	1	1	4	73
6	1	1	5	67
6	1	1	6	83
6	1	1	7	67
6	1	2	0	234
6	1	2	1	249
6	1	2	2	102
6	1	2	3	70
6	1	2	4	71
6	1	2	5	64
6	1	2	6	59
6	1	2	7	72
6	1	3	0	76
6	1	3	1	61
6	1	3	2	69
6	1	3	3	67
6	1	3	4	103
6	1	3	5	131
6	1	3	6	329
6	1	3	7	314
6	1	4	0	124
6	1	4	1	58
6	1	4	2	71
6	1	4	3	70
6	1	4	4	70
6	1	4	5	100
6	1	4	6	115
6	1	4	7	127
6	1	5	0	557
6	1	5	1	208
6	1	5	2	374
6	1	5	3	152
6	1	5	4	375
6	1	5	5	105
6	1	5	6	366
6	1	5	7	128
6	1	6	0	1104
6	1	6	1	84
6	1	6	2	91
6	1	6	3	112
6	1	6	4	75
6	1	6	5	88
6	1	6	6	89
6	1	6	7	64
6	1	7	0	116
6	1	7	1	459
6	1	7	2	182
6	1	7	3	612
6	1	7	4	187
6	1	7	5	489
6	1	7	6	169
6	1	7	7	450
7	0	0	0	87
7	0	0	1	216
7	0	0	2	122
7	0	0	3	156
7	0	0	4	205
7	0	0	5	180
7	0	0	6	459
7	0	0	7	255
7	0	1	0	607
7	0	1	1	553
7	0	1	2	261
7	0	1	3	213
7	0	1	4	98
7	0	1	5	110
7	0	1	6	93
7	0	1	7	140
7	0	2	0	216
7	0	2	1	260
7	0	2	2	181
7	0	2	3	159
7	0	2	4	148
7	0	2	5	129
7	0	2	6	128
7	0	2	7	93
7	0	3	0	83
7	0	3	1	66
7	0	3	2	114
7	0	3	3	106
7	0	3	4	147
7	0	3	5	142
7	0	3	6	298
7	0	3	7	388
7	0	4	0	120
7	0	4	1	495
7	0	4	2	130
7	0	4	3	547
7	0	4	4	99
7	0	4	5	356
7	0	4	6	101
7	0	4	7	158
7	0	5	0	98
7	0	5	1	309
7	0	5	2	93
7	0	5	3	100
7	0	5	4	76
7	0	5	5	60
7	0	5	6	73
7	0	5	7	91
7	0	6	0	254
7	0	6	1	167
7	0	6	2	323
7	0	6	3	255
7	0	6	4	503
7	0	6	5	200
7	0	6	6	455
7	0	6	7	154
7	0	7	0	77
7	0	7	1	80
7	0	7	2	100
7	0	7	3	119
7	0	7	4	127
7	0	7	5	148
7	0	7	6	168
7	0	7	7	178
7	1	0	0	78
7	1	0	1	84
7	1	0	2	141
7	1	0	3	100
7	1	0	4	153
7	1	0	5	150
7	1	0	6	527
7	1	0	7	543
7	1	1	0	253
7	1	1	1	471
7	1	1	2	185
7	1	1	3	128
7	1	1	4	132
7	1	1	5	109
7	1	1	6	117
7	1	1	7	104
7	1	2	0	181
7	1	2	1	179
7	1	2	2	110
7	1	2	3	121
7	1	2	4	114
7	1	2	5	122
7	1	2	6	79
7	1	2	7	156
7	1	3	0	105
7	1	3	1	96
7	1	3	2	102
7	1	3	3	128
7	1	3	4	89
7	1	3	5	144
7	1	3	6	165
7	1	3	7	129
7	1	4	0	620
7	1	4	1	94
7	1	4	2	64
7	1	4	3	110
7	1	4	4	119
7	1	4	5	103
7	1	4	6	203
7	1	4	7	125
7	1	5	0	181
7	1	5	1	133
7	1	5	2	184
7	1	5	3	98
7	1	5	4	241
7	1	5	5	89
7	1	5	6	292
7	1	5	7	122
7	1	6	0	722
7	1	6	1	145
7	1	6	2	185
7	1	6	3	121
7	1	6	4	3642
7	1	6	5	89
7	1	6	6	286
7	1	6	7	92
7	1	7	0	142
7	1	7	1	455
7	1	7	2	232
7	1	7	3	573
7	1	7	4	310
7	1	7	5	1291
7	1	7	6	223
7	1	7	7	1049
