# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) PMT(A-D) ANODE(0-63)
1 1 4 0 0 A 26
1 1 4 1 0 A 25
1 1 4 2 0 A 18
1 1 4 3 0 A 17
1 1 4 4 0 A 10
1 1 4 5 0 A 9
1 1 4 6 0 A 2
1 1 4 7 0 A 1
1 1 5 0 0 A 3
1 1 5 1 0 A 4
1 1 5 2 0 A 11
1 1 5 3 0 A 12
1 1 5 4 0 A 19
1 1 5 5 0 A 20
1 1 5 6 0 A 28
1 1 5 7 0 A 27
1 1 6 0 0 A 57
1 1 6 1 0 A 58
1 1 6 2 0 A 49
1 1 6 3 0 A 50
1 1 6 4 0 A 41
1 1 6 5 0 A 42
1 1 6 6 0 A 33
1 1 6 7 0 A 34
1 1 7 0 0 A 36
1 1 7 1 0 A 35
1 1 7 2 0 A 44
1 1 7 3 0 A 43
1 1 7 4 0 A 52
1 1 7 5 0 A 51
1 1 7 6 0 A 60
1 1 7 7 0 A 59
2 0 0 0 0 C 39
2 0 0 1 0 C 40
2 0 0 2 0 C 47
2 0 0 3 0 C 48
2 0 0 4 0 C 55
2 0 0 5 0 C 56
2 0 0 6 0 C 63
2 0 0 7 0 C 64
2 0 1 0 0 C 62
2 0 1 1 0 C 61
2 0 1 2 0 C 54
2 0 1 3 0 C 53
2 0 1 4 0 C 46
2 0 1 5 0 C 45
2 0 1 6 0 C 38
2 0 1 7 0 C 37
2 0 2 0 0 C 8
2 0 2 1 0 C 7
2 0 2 2 0 C 16
2 0 2 3 0 C 15
2 0 2 4 0 C 24
2 0 2 5 0 C 23
2 0 2 6 0 C 32
2 0 2 7 0 C 31
2 0 3 0 0 C 30
2 0 3 1 0 C 29
2 0 3 2 0 C 21
2 0 3 3 0 C 22
2 0 3 4 0 C 13
2 0 3 5 0 C 14
2 0 3 6 0 C 5
2 0 3 7 0 C 6
2 0 4 0 0 B 52
2 0 4 1 0 B 60
2 0 4 2 0 B 51
2 0 4 3 0 B 59
2 0 4 4 0 B 50
2 0 4 5 0 B 58
2 0 4 6 0 B 49
2 0 4 7 0 B 57
2 0 5 0 0 B 41
2 0 5 1 0 B 33
2 0 5 2 0 B 42
2 0 5 3 0 B 34
2 0 5 4 0 B 43
2 0 5 5 0 B 35
2 0 5 6 0 B 36
2 0 5 7 0 B 44
2 0 6 0 0 B 64
2 0 6 1 0 B 56
2 0 6 2 0 B 63
2 0 6 3 0 B 55
2 0 6 4 0 B 62
2 0 6 5 0 B 54
2 0 6 6 0 B 61
2 0 6 7 0 B 53
2 0 7 0 0 B 37
2 0 7 1 0 B 45
2 0 7 2 0 B 38
2 0 7 3 0 B 46
2 0 7 4 0 B 39
2 0 7 5 0 B 47
2 0 7 6 0 B 40
2 0 7 7 0 B 48
2 1 0 0 0 C 36
2 1 0 1 0 C 35
2 1 0 2 0 C 44
2 1 0 3 0 C 43
2 1 0 4 0 C 52
2 1 0 5 0 C 51
2 1 0 6 0 C 60
2 1 0 7 0 C 59
2 1 1 0 0 C 57
2 1 1 1 0 C 58
2 1 1 2 0 C 49
2 1 1 3 0 C 50
2 1 1 4 0 C 41
2 1 1 5 0 C 42
2 1 1 6 0 C 33
2 1 1 7 0 C 34
2 1 2 0 0 C 3
2 1 2 1 0 C 4
2 1 2 2 0 C 11
2 1 2 3 0 C 12
2 1 2 4 0 C 19
2 1 2 5 0 C 20
2 1 2 6 0 C 28
2 1 2 7 0 C 27
2 1 3 0 0 C 26
2 1 3 1 0 C 25
2 1 3 2 0 C 18
2 1 3 3 0 C 17
2 1 3 4 0 C 10
2 1 3 5 0 C 9
2 1 3 6 0 C 2
2 1 3 7 0 C 1
2 1 4 0 0 B 20
2 1 4 1 0 B 28
2 1 4 2 0 B 27
2 1 4 3 0 B 19
2 1 4 4 0 B 26
2 1 4 5 0 B 18
2 1 4 6 0 B 25
2 1 4 7 0 B 17
2 1 5 0 0 B 1
2 1 5 1 0 B 9
2 1 5 2 0 B 2
2 1 5 3 0 B 10
2 1 5 4 0 B 3
2 1 5 5 0 B 11
2 1 5 6 0 B 4
2 1 5 7 0 B 12
2 1 6 0 0 B 24
2 1 6 1 0 B 32
2 1 6 2 0 B 23
2 1 6 3 0 B 31
2 1 6 4 0 B 22
2 1 6 5 0 B 30
2 1 6 6 0 B 21
2 1 6 7 0 B 29
2 1 7 0 0 B 13
2 1 7 1 0 B 5
2 1 7 2 0 B 14
2 1 7 3 0 B 6
2 1 7 4 0 B 15
2 1 7 5 0 B 7
2 1 7 6 0 B 16
2 1 7 7 0 B 8
3 0 0 0 3 C 39
3 0 0 1 3 C 40
3 0 0 2 3 C 47
3 0 0 3 3 C 48
3 0 0 4 3 C 55
3 0 0 5 3 C 56
3 0 0 6 3 C 63
3 0 0 7 3 C 64
3 0 1 0 3 C 62
3 0 1 1 3 C 61
3 0 1 2 3 C 54
3 0 1 3 3 C 53
3 0 1 4 3 C 46
3 0 1 5 3 C 45
3 0 1 6 3 C 38
3 0 1 7 3 C 37
3 0 2 0 3 C 8
3 0 2 1 3 C 7
3 0 2 2 3 C 16
3 0 2 3 3 C 15
3 0 2 4 3 C 24
3 0 2 5 3 C 23
3 0 2 6 3 C 32
3 0 2 7 3 C 31
3 0 3 0 3 C 30
3 0 3 1 3 C 29
3 0 3 2 3 C 21
3 0 3 3 3 C 22
3 0 3 4 3 C 13
3 0 3 5 3 C 14
3 0 3 6 3 C 5
3 0 3 7 3 C 6
3 0 4 0 3 B 52
3 0 4 1 3 B 60
3 0 4 2 3 B 51
3 0 4 3 3 B 59
3 0 4 4 3 B 50
3 0 4 5 3 B 58
3 0 4 6 3 B 49
3 0 4 7 3 B 57
3 0 5 0 3 B 41
3 0 5 1 3 B 33
3 0 5 2 3 B 42
3 0 5 3 3 B 34
3 0 5 4 3 B 43
3 0 5 5 3 B 35
3 0 5 6 3 B 36
3 0 5 7 3 B 44
3 0 6 0 3 B 64
3 0 6 1 3 B 56
3 0 6 2 3 B 63
3 0 6 3 3 B 55
3 0 6 4 3 B 62
3 0 6 5 3 B 54
3 0 6 6 3 B 61
3 0 6 7 3 B 53
3 0 7 0 3 B 37
3 0 7 1 3 B 45
3 0 7 2 3 B 38
3 0 7 3 3 B 46
3 0 7 4 3 B 39
3 0 7 5 3 B 47
3 0 7 6 3 B 40
3 0 7 7 3 B 48
3 1 0 0 3 C 36
3 1 0 1 3 C 35
3 1 0 2 3 C 44
3 1 0 3 3 C 43
3 1 0 4 3 C 52
3 1 0 5 3 C 51
3 1 0 6 3 C 60
3 1 0 7 3 C 59
3 1 1 0 3 C 57
3 1 1 1 3 C 58
3 1 1 2 3 C 49
3 1 1 3 3 C 50
3 1 1 4 3 C 41
3 1 1 5 3 C 42
3 1 1 6 3 C 33
3 1 1 7 3 C 34
3 1 2 0 3 C 3
3 1 2 1 3 C 4
3 1 2 2 3 C 11
3 1 2 3 3 C 12
3 1 2 4 3 C 19
3 1 2 5 3 C 20
3 1 2 6 3 C 28
3 1 2 7 3 C 27
3 1 3 0 3 C 26
3 1 3 1 3 C 25
3 1 3 2 3 C 18
3 1 3 3 3 C 17
3 1 3 4 3 C 10
3 1 3 5 3 C 9
3 1 3 6 3 C 2
3 1 3 7 3 C 1
3 1 4 0 3 B 20
3 1 4 1 3 B 28
3 1 4 2 3 B 27
3 1 4 3 3 B 19
3 1 4 4 3 B 26
3 1 4 5 3 B 18
3 1 4 6 3 B 25
3 1 4 7 3 B 17
3 1 5 0 3 B 1
3 1 5 1 3 B 9
3 1 5 2 3 B 2
3 1 5 3 3 B 10
3 1 5 4 3 B 3
3 1 5 5 3 B 11
3 1 5 6 3 B 4
3 1 5 7 3 B 12
3 1 6 0 3 B 24
3 1 6 1 3 B 32
3 1 6 2 3 B 23
3 1 6 3 3 B 31
3 1 6 4 3 B 22
3 1 6 5 3 B 30
3 1 6 6 3 B 21
3 1 6 7 3 B 29
3 1 7 0 3 B 13
3 1 7 1 3 B 5
3 1 7 2 3 B 14
3 1 7 3 3 B 6
3 1 7 4 3 B 15
3 1 7 5 3 B 7
3 1 7 6 3 B 16
3 1 7 7 3 B 8
4 0 0 0 2 D 37
4 0 0 1 2 D 45
4 0 0 2 2 D 38
4 0 0 3 2 D 46
4 0 0 4 2 D 39
4 0 0 5 2 D 47
4 0 0 6 2 D 40
4 0 0 7 2 D 48
4 0 1 0 2 D 64
4 0 1 1 2 D 56
4 0 1 2 2 D 63
4 0 1 3 2 D 55
4 0 1 4 2 D 62
4 0 1 5 2 D 54
4 0 1 6 2 D 61
4 0 1 7 2 D 53
4 0 2 0 2 D 41
4 0 2 1 2 D 33
4 0 2 2 2 D 42
4 0 2 3 2 D 34
4 0 2 4 2 D 43
4 0 2 5 2 D 35
4 0 2 6 2 D 36
4 0 2 7 2 D 44
4 0 3 0 2 D 52
4 0 3 1 2 D 60
4 0 3 2 2 D 51
4 0 3 3 2 D 59
4 0 3 4 2 D 50
4 0 3 5 2 D 58
4 0 3 6 2 D 49
4 0 3 7 2 D 57
4 0 4 0 2 A 30
4 0 4 1 2 A 29
4 0 4 2 2 A 21
4 0 4 3 2 A 22
4 0 4 4 2 A 13
4 0 4 5 2 A 14
4 0 4 6 2 A 5
4 0 4 7 2 A 6
4 0 5 0 2 A 8
4 0 5 1 2 A 7
4 0 5 2 2 A 16
4 0 5 3 2 A 15
4 0 5 4 2 A 24
4 0 5 5 2 A 23
4 0 5 6 2 A 32
4 0 5 7 2 A 31
4 0 6 0 2 A 62
4 0 6 1 2 A 61
4 0 6 2 2 A 54
4 0 6 3 2 A 53
4 0 6 4 2 A 46
4 0 6 5 2 A 45
4 0 6 6 2 A 38
4 0 6 7 2 A 37
4 0 7 0 2 A 39
4 0 7 1 2 A 40
4 0 7 2 2 A 47
4 0 7 3 2 A 48
4 0 7 4 2 A 55
4 0 7 5 2 A 56
4 0 7 6 2 A 63
4 0 7 7 2 A 64
4 1 0 0 2 D 13
