# UART(0-7) FEB(0-1) CHIP(0-7) CHANNEL(0-7) EC(0-3) PMT(A-D) ANODE(0-63)
7 1 3 2 2 C 18
7 1 3 3 2 C 17
7 1 3 4 2 C 10
7 1 3 5 2 C 9
7 1 3 6 2 C 2
7 1 3 7 2 C 1
7 1 4 0 2 B 20
7 1 4 1 2 B 28
7 1 4 2 2 B 27
7 1 4 3 2 B 19
7 1 4 4 2 B 26
7 1 4 5 2 B 18
7 1 4 6 2 B 25
7 1 4 7 2 B 17
7 1 5 0 2 B 1
7 1 5 1 2 B 9
7 1 5 2 2 B 2
7 1 5 3 2 B 10
7 1 5 4 2 B 3
7 1 5 5 2 B 11
7 1 5 6 2 B 4
7 1 5 7 2 B 12
7 1 6 0 2 B 24
7 1 6 1 2 B 32
7 1 6 2 2 B 23
7 1 6 3 2 B 31
7 1 6 4 2 B 22
7 1 6 5 2 B 30
7 1 6 6 2 B 21
7 1 6 7 2 B 29
7 1 7 0 2 B 13
7 1 7 1 2 B 5
7 1 7 2 2 B 14
7 1 7 3 2 B 6
7 1 7 4 2 B 15
7 1 7 5 2 B 7
7 1 7 6 2 B 16
7 1 7 7 2 B 8
