#LHCb RICH ECQA DCR
#DATE		HOUR
2019-10-12	02:35:29
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
307
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	92
0	0	0	1	135
0	0	0	2	72
0	0	0	3	103
0	0	0	4	56
0	0	0	5	67
0	0	0	6	120
0	0	0	7	99
0	0	1	0	786
0	0	1	1	193
0	0	1	2	1640
0	0	1	3	145
0	0	1	4	2953
0	0	1	5	339
0	0	1	6	2669
0	0	1	7	309
0	0	2	0	481
0	0	2	1	329
0	0	2	2	398
0	0	2	3	227
0	0	2	4	205
0	0	2	5	190
0	0	2	6	153
0	0	2	7	149
0	0	3	0	352
0	0	3	1	4518
0	0	3	2	671
0	0	3	3	9853
0	0	3	4	1762
0	0	3	5	8201
0	0	3	6	2216
0	0	3	7	8085
0	0	4	0	181
0	0	4	1	208
0	0	4	2	245
0	0	4	3	235
0	0	4	4	466
0	0	4	5	616
0	0	4	6	9102
0	0	4	7	11830
0	0	5	0	3762
0	0	5	1	6209
0	0	5	2	700
0	0	5	3	454
0	0	5	4	324
0	0	5	5	179
0	0	5	6	269
0	0	5	7	154
0	0	6	0	55351
0	0	6	1	44303
0	0	6	2	1836
0	0	6	3	1706
0	0	6	4	309
0	0	6	5	340
0	0	6	6	170
0	0	6	7	240
0	0	7	0	150
0	0	7	1	284
0	0	7	2	265
0	0	7	3	347
0	0	7	4	1051
0	0	7	5	1018
0	0	7	6	31146
0	0	7	7	9905
0	1	0	0	108
0	1	0	1	311
0	1	0	2	143
0	1	0	3	423
0	1	0	4	184
0	1	0	5	682
0	1	0	6	193
0	1	0	7	946
0	1	1	0	98
0	1	1	1	134
0	1	1	2	69
0	1	1	3	62
0	1	1	4	75
0	1	1	5	74
0	1	1	6	82
0	1	1	7	70
0	1	2	0	687
0	1	2	1	286
0	1	2	2	493
0	1	2	3	202
0	1	2	4	331
0	1	2	5	134
0	1	2	6	240
0	1	2	7	102
0	1	3	0	91
0	1	3	1	101
0	1	3	2	126
0	1	3	3	105
0	1	3	4	126
0	1	3	5	123
0	1	3	6	197
0	1	3	7	132
0	1	4	0	128
0	1	4	1	2081
0	1	4	2	180
0	1	4	3	1885
0	1	4	4	606
0	1	4	5	1511
0	1	4	6	11154
0	1	4	7	3631
0	1	5	0	15743
0	1	5	1	13199
0	1	5	2	738
0	1	5	3	510
0	1	5	4	203
0	1	5	5	459
0	1	5	6	231
0	1	5	7	205
0	1	6	0	8427
