#LHCb RICH ECQA DCR
#DATE		HOUR
2019-08-08	09:51:07
#VOLTAGE[V]
1000
#NPULSES[k]
100
#FREQ[[kHz]
1
# THRESHOLD (if fixed, write hexadecimal value; if optimized, write configuration file name)
/home/labo/DATA/Load_0007_H_S2/THR_1000V_offset1_Opt_Thr.txt
#UART	FEB	CHIP	CHANNEL	Hit_Counts
0	0	0	0	513
0	0	0	1	512
0	0	0	2	0
0	0	0	3	0
0	0	0	4	0
0	0	0	5	657
0	0	0	6	0
0	0	0	7	748
0	0	1	0	443
0	0	1	1	0
0	0	1	2	645
0	0	1	3	0
0	0	1	4	0
0	0	1	5	0
0	0	1	6	344
0	0	1	7	386
0	0	2	0	424
0	0	2	1	0
0	0	2	2	415
0	0	2	3	0
0	0	2	4	501
0	0	2	5	0
0	0	2	6	386
0	0	2	7	0
0	0	3	0	0
0	0	3	1	444
0	0	3	2	0
0	0	3	3	475
0	0	3	4	0
0	0	3	5	452
0	0	3	6	0
0	0	3	7	430
0	0	4	0	0
0	0	4	1	415
0	0	4	2	0
0	0	4	3	454
0	0	4	4	0
0	0	4	5	379
0	0	4	6	0
0	0	4	7	370
0	0	5	0	374
0	0	5	1	0
0	0	5	2	537
0	0	5	3	0
0	0	5	4	405
0	0	5	5	0
0	0	5	6	483
0	0	5	7	0
0	0	6	0	1061
0	0	6	1	0
0	0	6	2	1487
0	0	6	3	0
0	0	6	4	0
0	0	6	5	0
0	0	6	6	390
0	0	6	7	504
0	0	7	0	481
0	0	7	1	510
0	0	7	2	0
0	0	7	3	0
0	0	7	4	0
0	0	7	5	2852
0	0	7	6	0
0	0	7	7	3354
0	1	0	0	335
0	1	0	1	307
0	1	0	2	0
0	1	0	3	0
0	1	0	4	0
0	1	0	5	1203
0	1	0	6	0
0	1	0	7	1290
0	1	1	0	782
0	1	1	1	0
0	1	1	2	807
0	1	1	3	0
0	1	1	4	0
0	1	1	5	0
0	1	1	6	407
0	1	1	7	370
0	1	2	0	311
0	1	2	1	0
0	1	2	2	304
0	1	2	3	0
0	1	2	4	289
0	1	2	5	0
0	1	2	6	285
0	1	2	7	0
0	1	3	0	0
0	1	3	1	407
0	1	3	2	0
0	1	3	3	373
0	1	3	4	0
0	1	3	5	387
0	1	3	6	0
0	1	3	7	359
0	1	4	0	0
0	1	4	1	300
0	1	4	2	0
0	1	4	3	478
0	1	4	4	0
0	1	4	5	299
0	1	4	6	0
0	1	4	7	317
0	1	5	0	346
0	1	5	1	0
0	1	5	2	322
0	1	5	3	0
0	1	5	4	431
0	1	5	5	0
0	1	5	6	308
0	1	5	7	0
0	1	6	0	432
0	1	6	1	0
0	1	6	2	430
0	1	6	3	0
0	1	6	4	0
0	1	6	5	0
0	1	6	6	314
0	1	6	7	300
0	1	7	0	361
0	1	7	1	396
0	1	7	2	0
0	1	7	3	0
0	1	7	4	0
0	1	7	5	646
0	1	7	6	0
0	1	7	7	868
1	0	0	0	1282
1	0	0	1	924
1	0	0	2	0
1	0	0	3	0
1	0	0	4	0
1	0	0	5	6229
1	0	0	6	0
1	0	0	7	5769
1	0	1	0	12700
1	0	1	1	0
1	0	1	2	9966
1	0	1	3	0
1	0	1	4	0
1	0	1	5	0
1	0	1	6	1685
1	0	1	7	1360
1	0	2	0	475
1	0	2	1	0
1	0	2	2	734
1	0	2	3	0
1	0	2	4	561
1	0	2	5	0
1	0	2	6	545
1	0	2	7	0
1	0	3	0	0
1	0	3	1	1218
1	0	3	2	0
1	0	3	3	780
1	0	3	4	0
1	0	3	5	964
1	0	3	6	0
1	0	3	7	565
1	0	4	0	0
1	0	4	1	526
1	0	4	2	0
1	0	4	3	549
1	0	4	4	0
1	0	4	5	766
1	0	4	6	0
1	0	4	7	405
1	0	5	0	526
1	0	5	1	0
1	0	5	2	919
1	0	5	3	0
1	0	5	4	659
1	0	5	5	0
1	0	5	6	981
1	0	5	7	0
1	0	6	0	2079
1	0	6	1	0
1	0	6	2	1961
1	0	6	3	0
1	0	6	4	0
1	0	6	5	0
1	0	6	6	603
1	0	6	7	778
1	0	7	0	789
1	0	7	1	903
1	0	7	2	0
1	0	7	3	0
1	0	7	4	0
1	0	7	5	1927
1	0	7	6	0
1	0	7	7	1289
1	1	0	0	1021
1	1	0	1	1516
1	1	0	2	0
1	1	0	3	0
1	1	0	4	0
